agid,name,rank,station,unit,district,subDivision,landline,mobile,email,searchBlob
KSP1891,PI Wireless,PI,PI Wireless,Wireless,KGF,,,9480802700,dckgf@ksp.gov.in,pi wireless pi wireless kgf 9480802700 dckgf@ksp.gov.in
KSP1892,PI (W) PI Wireless,PI (W),PI Wireless,Wireless,KGF,,,9480800935,dcrkgf@ksp.gov.in,pi (w) pi wireless pi (w) pi wireless wireless kgf 9480800935 dcrkgf@ksp.gov.in
KSP1893,DySP KGF,DySP,KGF,HQ,KGF,,,08153-275284,sdpokgf@ksp.gov.in,dysp kgf dysp kgf hq 08153-275284 sdpokgf@ksp.gov.in
KSP1894,PI DCIB,PI,DCIB,DCIB,KGF,,,9480802708,dcibgba@ksp.gov.in,pi dcib pi dcib kgf 9480802708 dcibgba@ksp.gov.in
KSP1895,CPI Robertsonpet Circle,CPI,Robertsonpet Circle,L&O,KGF,,,9480802732,cpirobertsonpetkgf@ksp.gov.in,cpi robertsonpet circle cpi robertsonpet circle l&o kgf 9480802732 cpirobertsonpetkgf@ksp.gov.in
KSP1896,PSI ROBERTSONPET,PSI,ROBERTSONPET PS,L&O,KGF,,,9480802749,robertsonpetkgf@ksp.gov.in,psi robertsonpet psi robertsonpet ps l&o kgf 9480802749 robertsonpetkgf@ksp.gov.in
KSP1897,PSI ANDERSONPET,PSI,ANDERSONPET PS,L&O,KGF,,,9480802750,andersonpetkgf@ksp.gov.in,psi andersonpet psi andersonpet ps l&o kgf 9480802750 andersonpetkgf@ksp.gov.in
KSP1898,CPI Oorgaum Circle,CPI,Oorgaum Circle,L&O,KGF,,,9480802731,cpioorgaumkgf@ksp.gov.in,cpi oorgaum circle cpi oorgaum circle l&o kgf 9480802731 cpioorgaumkgf@ksp.gov.in
KSP1899,PSI OORGAUM,PSI,OORGAUM PS,L&O,KGF,,,9480802747,oorgaumkgf@ksp.gov.in,psi oorgaum psi oorgaum ps l&o kgf 9480802747 oorgaumkgf@ksp.gov.in
KSP1900,PSI BEML,PSI,BEML PS,L&O,KGF,,,9480802748,bemlnagarkgf@ksp.gov.in,psi beml psi beml ps l&o kgf 9480802748 bemlnagarkgf@ksp.gov.in
KSP1901,CPI Bethamangala Circle,CPI,Bethamangala Circle,L&O,KGF,,,9480802730,cpibethamangalakgf@ksp.gov.in,cpi bethamangala circle cpi bethamangala circle l&o kgf 9480802730 cpibethamangalakgf@ksp.gov.in
KSP1902,PSI BETHAMANGALA,PSI,BETHAMANGALA PS,L&O,KGF,,,9480802752,bethamangalakgf@ksp.gov.in,psi bethamangala psi bethamangala ps l&o kgf 9480802752 bethamangalakgf@ksp.gov.in
KSP1903,PSI KYASAMBALLI,PSI,KYASAMBALLI PS,L&O,KGF,,,9480802745,kyasamballikgf@ksp.gov.in,psi kyasamballi psi kyasamballi ps l&o kgf 9480802745 kyasamballikgf@ksp.gov.in
KSP1904,CPI Kamasamudram Circle,CPI,Kamasamudram Circle,L&O,KGF,,,9480802733,cpikamasamudramkgf@ksp.gov.in,cpi kamasamudram circle cpi kamasamudram circle l&o kgf 9480802733 cpikamasamudramkgf@ksp.gov.in
KSP1905,PSI KAMASAMUDRAM,PSI,KAMASAMUDRAM PS,L&O,KGF,,,9480802753,kamasamudramkgf@ksp.gov.in,psi kamasamudram psi kamasamudram ps l&o kgf 9480802753 kamasamudramkgf@ksp.gov.in
KSP1906,PSI BUDIKOTE,PSI,BUDIKOTE PS,L&O,KGF,,,9480802746,budikotekgf@ksp.gov.in,psi budikote psi budikote ps l&o kgf 9480802746 budikotekgf@ksp.gov.in
KSP1907,PI BANGARPET,PI,BANGARPET PS,L&O,KGF,,,9480802751,bangarpetkgf@ksp.gov.in,pi bangarpet pi bangarpet ps l&o kgf 9480802751 bangarpetkgf@ksp.gov.in
KSP1908,PSI BANGARPET,PSI,BANGARPET PS,L&O,KGF,,,9480109383,,psi bangarpet psi bangarpet ps l&o kgf 9480109383
KSP1909,PI DSB,PI,DSB,DSB,KGF,,,9480802707,dsbrrcr@ksp.gov.in,pi dsb pi dsb kgf 9480802707 dsbrrcr@ksp.gov.in
KSP1910,PI DCIB,PI,DCIB,DCIB,KGF,,,9480802708,dcibgba@ksp.gov.in,pi dcib pi dcib kgf 9480802708 dcibgba@ksp.gov.in
KSP1911,PI DCRB,PI,DCRB,DCRB,KGF,,,9480802709,dcrbrcr@ksp.gov.in,pi dcrb pi dcrb kgf 9480802709 dcrbrcr@ksp.gov.in
KSP1912,AAO DPO KGF,AAO,DPO KGF,DPO,KGF,,,,aaokgf@ksp.gov.in,aao dpo kgf aao dpo kgf dpo kgf aaokgf@ksp.gov.in
KSP1913,Fire Station KGF,,Fire Station KGF,Fire,KGF,,,9480823713,,fire station kgf fire kgf 9480823713
KSP1914,Fire Station Bangarpet,,Fire Station Bangarpet,Fire,KGF,,,,,fire station bangarpet fire kgf
KSP1915,Tahsildar Taluk Office Bangarpet,,Tahsildar Taluk Office Bangarpet,L&O,Bengaluru City,,,,,tahsildar taluk office bangarpet l&o bengaluru city
KSP1916,Tahsildar Taluk Office KGF,,Tahsildar Taluk Office KGF,L&O,Bengaluru City,,,,,tahsildar taluk office kgf l&o bengaluru city
KSP1917,Jailer Sub Jail K.G.F,,Jailer Sub Jail K.G.F,Prison,KGF,,,9480806419,,jailer sub jail k.g.f prison kgf 9480806419
KSP1918,SP Ramanagar,SP,Ramanagar,L&O,Ramanagara,,080-27278800,9480802801,sprmn@ksp.gov.in,sp ramanagar sp ramanagar l&o ramanagara 080-27278800 9480802801 sprmn@ksp.gov.in
KSP1919,Addl. SP Ramanagar,Addl. SP,Ramanagar,L&O,Ramanagara,,080-27275070,9480802802,addlsprmn@ksp.gov.in,addl. sp ramanagar addl. sp ramanagar l&o ramanagara 080-27275070 9480802802 addlsprmn@ksp.gov.in
KSP1920,Addl. SP Ramanagar,Addl. SP,Ramanagar,L&O,Ramanagara,,080-27271003,9480802810,addlsprmn2@ksp.gov.in,addl. sp ramanagar addl. sp ramanagar l&o ramanagara 080-27271003 9480802810 addlsprmn2@ksp.gov.in
KSP1921,C/Room,,C/Room,C/Room,Ramanagara,,,9480802800,dckpl@ksp.gov.in,c/room ramanagara 9480802800 dckpl@ksp.gov.in
KSP1922,PI (W) C/Room,PI (W),C/Room,C/Room,Ramanagara,,,9480800931,,pi (w) c/room pi (w) c/room ramanagara 9480800931
KSP1923,WOMEN,,WOMEN PS,Women,Ramanagara,,,9480802871,womenpskpl@ksp.gov.in,women women ps ramanagara 9480802871 womenpskpl@ksp.gov.in
KSP1924,ACP CEN,ACP,CEN PS,CEN,Ramanagara,,080-27271824,9480802870,dcbpsrmn@ksp.gov.in,acp cen acp cen ps cen ramanagara 080-27271824 9480802870 dcbpsrmn@ksp.gov.in
KSP1925,DySP Ramanagara,DySP,Ramanagara,L&O,Ramanagara,,080-27271878,9480802820,sdporamnagararmn2@ksp.gov.in,dysp ramanagara dysp ramanagara l&o 080-27271878 9480802820 sdporamnagararmn2@ksp.gov.in
KSP1926,CPI RAMANAGARA (T),CPI,RAMANAGARA (T) PS,L&O,Ramanagara,,080-27271422,9480802830,cpirnagartownrmn@ksp.gov.in,cpi ramanagara (t) cpi ramanagara (t) ps l&o ramanagara 080-27271422 9480802830 cpirnagartownrmn@ksp.gov.in
KSP1927,PSI-1 RAMANAGARA (T),PSI-1,RAMANAGARA (T) PS,L&O,Ramanagara,,080-27271230,9480802845,rnagartownrmn@ksp.gov.in,psi-1 ramanagara (t) psi-1 ramanagara (t) ps l&o ramanagara 080-27271230 9480802845 rnagartownrmn@ksp.gov.in
KSP1928,PSI-2 IJOOR,PSI-2,IJOOR PS,L&O,Ramanagara,,080-27271230,,,psi-2 ijoor psi-2 ijoor ps l&o ramanagara 080-27271230
KSP1929,PSI IJOOR,PSI,IJOOR PS,L&O,Ramanagara,,080-27271786,9480802847,ijoorrmn@ksp.gov.in,psi ijoor psi ijoor ps l&o ramanagara 080-27271786 9480802847 ijoorrmn@ksp.gov.in
KSP1930,PSI RAMANAGARA TRAFFIC,PSI,RAMANAGARA TRAFFIC PS,Traffic,Ramanagara,,080-27273904,9480802846,tfcrmn@ksp.gov.in,psi ramanagara traffic psi ramanagara traffic ps traffic ramanagara 080-27273904 9480802846 tfcrmn@ksp.gov.in
KSP1931,PI RAMANAGARA (R),PI,RAMANAGARA (R) PS,L&O,Ramanagara,,080-27271321,9480802831,cpirnagarrmn2@ksp.gov.in,pi ramanagara (r) pi ramanagara (r) ps l&o ramanagara 080-27271321 9480802831 cpirnagarrmn2@ksp.gov.in
KSP1932,PSI RAMANAGARA (R),PSI,RAMANAGARA (R) PS,L&O,Ramanagara,,080-27271321,9480802848,rnagarruralrmn@ksp.gov.in,psi ramanagara (r) psi ramanagara (r) ps l&o ramanagara 080-27271321 9480802848 rnagarruralrmn@ksp.gov.in
KSP1933,PI BIDADI,PI,BIDADI PS,L&O,Ramanagara,,080-27282237,9480802849,bidadirmn@ksp.gov.in,pi bidadi pi bidadi ps l&o ramanagara 080-27282237 9480802849 bidadirmn@ksp.gov.in
KSP1934,PSI BIDADI,PSI,BIDADI PS,L&O,Ramanagara,,080-27282237,,,psi bidadi psi bidadi ps l&o ramanagara 080-27282237
KSP1935,PI HAROHALLY,PI,HAROHALLY PS,L&O,Ramanagara,,080-27562240,9480802832,cpihhallirmn@ksp.gov.in,pi harohally pi harohally ps l&o ramanagara 080-27562240 9480802832 cpihhallirmn@ksp.gov.in
KSP1936,PSI HAROHALLY,PSI,HAROHALLY PS,L&O,Ramanagara,,080-27562240,9480802850,hhallirmn@ksp.gov.in,psi harohally psi harohally ps l&o ramanagara 080-27562240 9480802850 hhallirmn@ksp.gov.in
KSP1937,PI KAGGALIPURA,PI,KAGGALIPURA PS,L&O,Ramanagara,,080-28435250,9480802851,kaggalipurps@ksp.gov.in,pi kaggalipura pi kaggalipura ps l&o ramanagara 080-28435250 9480802851 kaggalipurps@ksp.gov.in
KSP1938,PSI KAGGALIPURA,PSI,KAGGALIPURA PS,L&O,Ramanagara,,080-28435250,,,psi kaggalipura psi kaggalipura ps l&o ramanagara 080-28435250
KSP1939,DySP Magadi,DySP,Magadi,L&O,Ramanagara,,080-28434100,9480802866,sdpomagadirmn2@ksp.gov.in,dysp magadi dysp magadi l&o ramanagara 080-28434100 9480802866 sdpomagadirmn2@ksp.gov.in
KSP1940,PI MAGADI,PI,MAGADI PS,L&O,Ramanagara,,080-27745224,9480802852,cpimagadirmn@ksp.gov.in,pi magadi pi magadi ps l&o ramanagara 080-27745224 9480802852 cpimagadirmn@ksp.gov.in
KSP1941,PSI MAGADI,PSI,MAGADI PS,L&O,Ramanagara,,080-27745224,,magadirmn@ksp.gov.in,psi magadi psi magadi ps l&o ramanagara 080-27745224 magadirmn@ksp.gov.in
KSP1942,PI KUDUR,PI,KUDUR PS,L&O,Ramanagara,,080-27762241,9480802853,kudurrmn@ksp.gov.in,pi kudur pi kudur ps l&o ramanagara 080-27762241 9480802853 kudurrmn@ksp.gov.in
KSP1943,PSI KUDUR,PSI,KUDUR PS,L&O,Ramanagara,,080-27762241,,,psi kudur psi kudur ps l&o ramanagara 080-27762241
KSP1944,PI TAVAREKERE,PI,TAVAREKERE PS,L&O,Ramanagara,,080-28434365,9480802854,tkerermn2@ksp.gov.in,pi tavarekere pi tavarekere ps l&o ramanagara 080-28434365 9480802854 tkerermn2@ksp.gov.in
KSP1945,PSI TAVAREKERE,PSI,TAVAREKERE PS,L&O,Ramanagara,,080-28434365,,,psi tavarekere psi tavarekere ps l&o ramanagara 080-28434365
KSP1946,DySP Channapatna,DySP,Channapatna,L&O,Ramanagara,,080-27251415,9480802821,sdpocpatnarmn@ksp.gov.in,dysp channapatna dysp channapatna l&o ramanagara 080-27251415 9480802821 sdpocpatnarmn@ksp.gov.in
KSP1947,CPI Channapatna (T) Circle,CPI,Channapatna (T) Circle,L&O,Ramanagara,,080-27251621,9480802834,cpipatnatownrmn@ksp.gov.in,cpi channapatna (t) circle cpi channapatna (t) circle l&o ramanagara 080-27251621 9480802834 cpipatnatownrmn@ksp.gov.in
KSP1948,PSI CHANNAPATNA (T),PSI,CHANNAPATNA (T) PS,L&O,Ramanagara,,080-27251749,9480802855,cpatnatownrmn@ksp.gov.in,psi channapatna (t) psi channapatna (t) ps l&o ramanagara 080-27251749 9480802855 cpatnatownrmn@ksp.gov.in
KSP1949,PSI-1 CHANNAPATNA EAST,PSI-1,CHANNAPATNA EAST PS,L&O,Ramanagara,,080-27251229,9480802856,cpatnaeastrmn@ksp.gov.in,psi-1 channapatna east psi-1 channapatna east ps l&o ramanagara 080-27251229 9480802856 cpatnaeastrmn@ksp.gov.in
KSP1950,PSI-2 CHANNAPATNA EAST,PSI-2,CHANNAPATNA EAST PS,L&O,Ramanagara,,080-27251229,,,psi-2 channapatna east psi-2 channapatna east ps l&o ramanagara 080-27251229
KSP1951,PSI CHANNAPATNA TRAFFIC,PSI,CHANNAPATNA TRAFFIC PS,Traffic,Ramanagara,,080-27271010,,cpatnatfcrmn2@ksp.gov.in,psi channapatna traffic psi channapatna traffic ps traffic ramanagara 080-27271010 cpatnatfcrmn2@ksp.gov.in
KSP1952,CPI Channapatna Rural Circle,CPI,Channapatna Rural Circle,L&O,Ramanagara,,080-27251416,9480802835,cpicpatnatownrmn@ksp.gov.in,cpi channapatna rural circle cpi channapatna rural circle l&o ramanagara 080-27251416 9480802835 cpicpatnatownrmn@ksp.gov.in
KSP1953,PSI CHANNAPATNA RURAL,PSI,CHANNAPATNA RURAL PS,L&O,Ramanagara,,080-27251256,9480802857,cpatnaruralrmn@ksp.gov.in,psi channapatna rural psi channapatna rural ps l&o ramanagara 080-27251256 9480802857 cpatnaruralrmn@ksp.gov.in
KSP1954,PSI AKKUR,PSI,AKKUR PS,L&O,Ramanagara,,080-27263253,9480802858,akkurrmn@ksp.gov.in,psi akkur psi akkur ps l&o ramanagara 080-27263253 9480802858 akkurrmn@ksp.gov.in
KSP1955,PSI M.K. DODDI,PSI,M.K. DODDI PS,L&O,Ramanagara,,,9480802859,mkdoddirmn@ksp.gov.in,psi m.k. doddi psi m.k. doddi ps l&o ramanagara 9480802859 mkdoddirmn@ksp.gov.in
KSP1956,PI KANAKAPURA (T),PI,KANAKAPURA (T) PS,L&O,Ramanagara,,080-27522441,9480802860,kpuratownrmn@ksp.gov.in,pi kanakapura (t) pi kanakapura (t) ps l&o ramanagara 080-27522441 9480802860 kpuratownrmn@ksp.gov.in
KSP1957,PSI KANAKAPURA (T),PSI,KANAKAPURA (T) PS,L&O,Ramanagara,,080-27522441,9480802868,,psi kanakapura (t) psi kanakapura (t) ps l&o ramanagara 080-27522441 9480802868
KSP1958,PSI Kanakapura Traffic,PSI,Kanakapura Traffic,Traffic,Ramanagara,,080-27562270,9480802869,kpuratfcrmn@ksp.gov.in,psi kanakapura traffic psi kanakapura traffic traffic ramanagara 080-27562270 9480802869 kpuratfcrmn@ksp.gov.in
KSP1959,CPI Kanakapura (R) Circle,CPI,Kanakapura (R) Circle,L&O,Ramanagara,,080-27522044,9480802836,kpuraruralrmn@ksp.gov.in,cpi kanakapura (r) circle cpi kanakapura (r) circle l&o ramanagara 080-27522044 9480802836 kpuraruralrmn@ksp.gov.in
KSP1960,PSI KANAKAPURA (R),PSI,KANAKAPURA (R) PS,L&O,Ramanagara,,080-27523616,9480802861,kpuraruralrmn@ksp.gov.in,psi kanakapura (r) psi kanakapura (r) ps l&o ramanagara 080-27523616 9480802861 kpuraruralrmn@ksp.gov.in
KSP1961,PSI KODIHALLI,PSI,KODIHALLI PS,L&O,Ramanagara,,080-27541240,9480802862,khallirmn@ksp.gov.in,psi kodihalli psi kodihalli ps l&o ramanagara 080-27541240 9480802862 khallirmn@ksp.gov.in
KSP1962,PSI SATHANUR,PSI,SATHANUR PS,L&O,Ramanagara,,080-27551233,9480802863,sathnoorrmn2@ksp.gov.in,psi sathanur psi sathanur ps l&o ramanagara 080-27551233 9480802863 sathnoorrmn2@ksp.gov.in
KSP1963,AAO DPO Ramanagara,AAO,DPO Ramanagara,DPO,Ramanagara,,080-27271101,,aaormn@ksp.gov.in,aao dpo ramanagara aao dpo ramanagara dpo ramanagara 080-27271101 aaormn@ksp.gov.in
KSP1964,PI DSB,PI,DSB,DSB,Ramanagara,,,9480802807,dsbrrcr@ksp.gov.in,pi dsb pi dsb ramanagara 9480802807 dsbrrcr@ksp.gov.in
KSP1965,PI DCRB,PI,DCRB,DCRB,Ramanagara,,,9480802809,dcrbrcr@ksp.gov.in,pi dcrb pi dcrb ramanagara 9480802809 dcrbrcr@ksp.gov.in
KSP1966,PI DCIB,PI,DCIB,DCIB,Chitradurga,,,,dcibgba@ksp.gov.in,pi dcib pi dcib chitradurga dcibgba@ksp.gov.in
KSP1967,DySP DAR,DySP,DAR,DAR,Ramanagara,,,9480802806,dspdarblr@ksp.gov.in,dysp dar dysp dar ramanagara 9480802806 dspdarblr@ksp.gov.in
KSP1968,RPI MTO,RPI,MTO,CAR,Ramanagara,,,9480802837,mtodargba@ksp.gov.in,rpi mto rpi mto car ramanagara 9480802837 mtodargba@ksp.gov.in
KSP1969,PI ACB,PI,ACB,L&O,Bengaluru City,,080-27272705,9480806272,,pi acb pi acb l&o bengaluru city 080-27272705 9480806272
KSP1970,PI INT,PI,INT,HQ,Ramanagara,,,9449878600,piintblr@ksp.gov.in,pi int pi int hq ramanagara 9449878600 piintblr@ksp.gov.in
KSP1971,PI BESCOM,PI,BESCOM,ESCOM,Ramanagara,,,9448094808,,pi bescom pi bescom escom ramanagara 9448094808
KSP1972,Dist. Jail,,Dist. Jail,Prison,Ramanagara,,,9480806415,,dist. jail prison ramanagara 9480806415
KSP1973,Homeguard,,Homeguard,Home Guard,Ramanagara,,,,,homeguard home guard ramanagara
KSP1974,DC,,DC,L&O,Bengaluru City,,080-2278312,,,dc l&o bengaluru city 080-2278312
KSP1975,CEO ZP Office,,CEO ZP Office,L&O,Bengaluru City,,080-27276720,,,ceo zp office l&o bengaluru city 080-27276720
KSP1976,Govt. Hospital Ramanagara,,Govt. Hospital Ramanagara,L&O,Ramanagara,,080-27272248,,,govt. hospital ramanagara l&o ramanagara 080-27272248
KSP1977,RTO,,RTO,RTO,Ramanagara,,,,,rto ramanagara
KSP1978,Excise,,Excise,Excise,Ramanagara,,,,,excise ramanagara
KSP1979,District Fire Officer,,District Fire Officer,Fire,Chamarajanagara,,08226-2283101,,,district fire officer fire chamarajanagara 08226-2283101
KSP1980,Fire Station,,Fire Station,Fire,Ramanagara,,08372-2794555,,,fire station fire ramanagara 08372-2794555
KSP1981,SP Tumkur,SP,Tumkur,L&O,Tumakuru,,0816-2272451,9480802901,sptkr@ksp.gov.in,sp tumkur sp tumkur l&o tumakuru 0816-2272451 9480802901 sptkr@ksp.gov.in
KSP1982,Addl. SP,Addl. SP,Tumkur,L&O,Tumakuru,,0816-2274130,9480802902,addlsptkr@ksp.gov.in,addl. sp tumkur l&o tumakuru 0816-2274130 9480802902 addlsptkr@ksp.gov.in
KSP1983,Addl. SP,Addl. SP,Tumkur,DAR,Tumakuru,,,9480802905,addlsp2tkr@ksp.gov.in,addl. sp tumkur dar tumakuru 9480802905 addlsp2tkr@ksp.gov.in
KSP1984,C/Room,,C/Room,C/Room,Tumakuru,,,9480802900,dckpl@ksp.gov.in,c/room tumakuru 9480802900 dckpl@ksp.gov.in
KSP1985,PI (W) PI Wireless,PI (W),PI Wireless,Wireless,Tumakuru,,,9480800932,,pi (w) pi wireless pi (w) pi wireless wireless tumakuru 9480800932
KSP1986,DySP Tumkur Sub Division,DySP,Tumkur Sub Division,L&O,Tumakuru,DySP Tumkur,0816-2272340,9480802920,sdpotkr@ksp.gov.in,dysp tumkur sub division dysp tumkur sub division l&o tumakuru dysp tumkur 0816-2272340 9480802920 sdpotkr@ksp.gov.in
KSP1987,PI CEN,PI,CEN PS,CEN,Tumakuru,,,9480802985,cenpsrcr@ksp.gov.in,pi cen pi cen ps cen tumakuru 9480802985 cenpsrcr@ksp.gov.in
KSP1988,PSI-1 WOMEN,PSI-1,WOMEN PS,L&O,Tumakuru,,,9364098541,,psi-1 women psi-1 women ps l&o tumakuru 9364098541
KSP1989,PSI-2 WOMEN,PSI-2,WOMEN PS,L&O,Tumakuru,,,9364098542,,psi-2 women psi-2 women ps l&o tumakuru 9364098542
KSP1990,PI CEN,PI,CEN PS,CEN,Tumakuru,,,9480802908,cenpsrcr@ksp.gov.in,pi cen pi cen ps cen tumakuru 9480802908 cenpsrcr@ksp.gov.in
KSP1991,PI TUMKUR TOWN,PI,TUMKUR TOWN PS,L&O,Tumakuru,,0816-2278388,9480802930,towntkr@ksp.gov.in,pi tumkur town pi tumkur town ps l&o tumakuru 0816-2278388 9480802930 towntkr@ksp.gov.in
KSP1992,PSI-1 TUMKUR TOWN,PSI-1,TUMKUR TOWN PS,L&O,Tumakuru,,,9480802945,,psi-1 tumkur town psi-1 tumkur town ps l&o tumakuru 9480802945
KSP1993,PSI-2 TUMKUR TOWN,PSI-2,TUMKUR TOWN PS,L&O,Tumakuru,,,9364098496,,psi-2 tumkur town psi-2 tumkur town ps l&o tumakuru 9364098496
KSP1994,PI TUMKUR TRAFFIC,PI,TUMKUR TRAFFIC PS,Traffic,Tumakuru,,0816-2278207,9480802929,trafficeasttkr@ksp.gov.in,pi tumkur traffic pi tumkur traffic ps traffic tumakuru 0816-2278207 9480802929 trafficeasttkr@ksp.gov.in
KSP1995,PSI-1 TUMKUR TRAFFIC EAST,PSI-1,TUMKUR TRAFFIC EAST PS,Traffic,Tumakuru,,0816-2278207,9480802947,,psi-1 tumkur traffic east psi-1 tumkur traffic east ps traffic tumakuru 0816-2278207 9480802947
KSP1996,PSI-2 TUMKUR TRAFFIC WEST,PSI-2,TUMKUR TRAFFIC WEST PS,Traffic,Tumakuru,,0816-2278207,9480802946,,psi-2 tumkur traffic west psi-2 tumkur traffic west ps traffic tumakuru 0816-2278207 9480802946
KSP1997,CPI Thilak Park Circle,CPI,Thilak Park Circle,L&O,Tumakuru,,0816-2276424,9480802932,cpithilakparktkr@ksp.gov.in,cpi thilak park circle cpi thilak park circle l&o tumakuru 0816-2276424 9480802932 cpithilakparktkr@ksp.gov.in
KSP1998,PSI-1 THILAK PARK,PSI-1,THILAK PARK PS,L&O,Tumakuru,,0816-2278202,9480802981,thilakparktkr@ksp.gov.in,psi-1 thilak park psi-1 thilak park ps l&o tumakuru 0816-2278202 9480802981 thilakparktkr@ksp.gov.in
KSP1999,PSI-2 THILAK PARK,PSI-2,THILAK PARK PS,L&O,Tumakuru,,0816-2278202,9364098499,,psi-2 thilak park psi-2 thilak park ps l&o tumakuru 0816-2278202 9364098499
KSP2000,PSI-1 NEW EXTN,PSI-1,NEW EXTN PS,L&O,Tumakuru,,0816-2278224,9480802951,newextenttkr@ksp.gov.in,psi-1 new extn psi-1 new extn ps l&o tumakuru 0816-2278224 9480802951 newextenttkr@ksp.gov.in
KSP2001,PSI-2 NEW EXTN,PSI-2,NEW EXTN PS,L&O,Tumakuru,,0816-2278224,9364098487,,psi-2 new extn psi-2 new extn ps l&o tumakuru 0816-2278224 9364098487
KSP2002,PSI-1 KORATAGERE,PSI-1,KORATAGERE PS,L&O,Tumakuru,,,9480802986,koratageretkr@ksp.gov.in,psi-1 koratagere psi-1 koratagere ps l&o tumakuru 9480802986 koratageretkr@ksp.gov.in
KSP2003,PSI-2 JAYANAGARA,PSI-2,JAYANAGARA PS,L&O,Tumakuru,,,9364098494,,psi-2 jayanagara psi-2 jayanagara ps l&o tumakuru 9364098494
KSP2004,CPI Kyathasandra Circle,CPI,Kyathasandra Circle,L&O,Tumakuru,,0816-2281120,9480802933,kyathtasandratkr@ksp.gov.in,cpi kyathasandra circle cpi kyathasandra circle l&o tumakuru 0816-2281120 9480802933 kyathtasandratkr@ksp.gov.in
KSP2005,PSI-1 KYATHASANDRA,PSI-1,KYATHASANDRA PS,L&O,Tumakuru,,0816-2281124,9480802952,,psi-1 kyathasandra psi-1 kyathasandra ps l&o tumakuru 0816-2281124 9480802952
KSP2006,PSI-2 KYATHASANDRA,PSI-2,KYATHASANDRA PS,L&O,Tumakuru,,0816-2281124,9364098498,,psi-2 kyathasandra psi-2 kyathasandra ps l&o tumakuru 0816-2281124 9364098498
KSP2007,PSI-1 HEBBUR,PSI-1,HEBBUR PS,L&O,Tumakuru,,0816-2241036,9480802953,hebburtkr@ksp.gov.in,psi-1 hebbur psi-1 hebbur ps l&o tumakuru 0816-2241036 9480802953 hebburtkr@ksp.gov.in
KSP2008,PSI-2 HEBBUR,PSI-2,HEBBUR PS,L&O,Tumakuru,,0816-2241036,9364098497,,psi-2 hebbur psi-2 hebbur ps l&o tumakuru 0816-2241036 9364098497
KSP2009,CPI Tumkur Rural Circle,CPI,Tumkur Rural Circle,L&O,Tumakuru,,0816-2275301,9480802931,cpiruraltkr@ksp.gov.in,cpi tumkur rural circle cpi tumkur rural circle l&o tumakuru 0816-2275301 9480802931 cpiruraltkr@ksp.gov.in
KSP2010,PSI-1 TUMKUR RURAL,PSI-1,TUMKUR RURAL PS,L&O,Tumakuru,,0816-2278381,9480802948,tumkurruraltkr@ksp.gov.in,psi-1 tumkur rural psi-1 tumkur rural ps l&o tumakuru 0816-2278381 9480802948 tumkurruraltkr@ksp.gov.in
KSP2011,PSI-2 TUMKUR RURAL,PSI-2,TUMKUR RURAL PS,L&O,Tumakuru,,0816-2278381,9364098490,,psi-2 tumkur rural psi-2 tumkur rural ps l&o tumakuru 0816-2278381 9364098490
KSP2012,PSI-1 KORA,PSI-1,KORA PS,L&O,Tumakuru,,0816-2242006,9480802949,koratkr@ksp.gov.in,psi-1 kora psi-1 kora ps l&o tumakuru 0816-2242006 9480802949 koratkr@ksp.gov.in
KSP2013,PSI-2 KORA,PSI-2,KORA PS,L&O,Tumakuru,,0816-2242006,9364098489,,psi-2 kora psi-2 kora ps l&o tumakuru 0816-2242006 9364098489
KSP2014,PSI-1 BELLAVI,PSI-1,BELLAVI PS,L&O,Tumakuru,,0816-2240046,9480802950,bellavitkr@ksp.gov.in,psi-1 bellavi psi-1 bellavi ps l&o tumakuru 0816-2240046 9480802950 bellavitkr@ksp.gov.in
KSP2015,PSI-2 BELLAVI,PSI-2,BELLAVI PS,L&O,Tumakuru,,0816-2240046,9364098493,,psi-2 bellavi psi-2 bellavi ps l&o tumakuru 0816-2240046 9364098493
KSP2016,DySP Sira,DySP,Sira,L&O,Tumakuru,,,08135-275184,sdposiratkr@ksp.gov.in,dysp sira dysp sira l&o tumakuru 08135-275184 sdposiratkr@ksp.gov.in
KSP2017,CPI Sira Rural Circle,CPI,Sira Rural Circle,L&O,Tumakuru,,,9480802934,cpisiraruraltkr@ksp.gov.in,cpi sira rural circle cpi sira rural circle l&o tumakuru 9480802934 cpisiraruraltkr@ksp.gov.in
KSP2018,PSI-1 KALLAMBELLA,PSI-1,KALLAMBELLA PS,L&O,Tumakuru,,,9480802955,kallambellatkr@ksp.gov.in,psi-1 kallambella psi-1 kallambella ps l&o tumakuru 9480802955 kallambellatkr@ksp.gov.in
KSP2019,PSI-2 KALLAMBELLA,PSI-2,KALLAMBELLA PS,L&O,Tumakuru,,,9364098518,,psi-2 kallambella psi-2 kallambella ps l&o tumakuru 9364098518
KSP2020,PSI-1 PATTA NAYAKANA HALLY,PSI-1,PATTA NAYAKANA HALLY PS,L&O,Tumakuru,,,9480802956,pnhallitkr@ksp.gov.in,psi-1 patta nayakana hally psi-1 patta nayakana hally ps l&o tumakuru 9480802956 pnhallitkr@ksp.gov.in
