"Section","Unit","Designation","Phone","Email"
"Ranges","Central Range – Bengaluru","PI (W) Control Room","27273456 / 9480800931",""
"Ranges","Central Range – Bengaluru","Women PS","27276446 / 9480802871","womenpsrmn@ksp.gov.in"
"Ranges","Central Range – Bengaluru","ACP Cyber Crime PS","27271824 / 9480802870","dcbpsrmn@ksp.gov.in"
"Ranges","Central Range – Bengaluru","DSP, Ramanagara","27271878 / 9480802820","sdporamnagararmn2@ksp.gov.in"
"Ranges","Central Range – Bengaluru","CPI Ramanagara (T) Circle","27271422 / 9480802830","cpirnagartownrmn@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-1 Ramanagara (T) PS","27271230 / 9480802845","rnagartownrmn@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-2 Ramanagara (T) PS","27271230 / —",""
"Ranges","Central Range – Bengaluru","PSI Ijoor PS","27271786 / 9480802847","ijoorrmn@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI Ramanagara Traffic PS","27273904 / 9480802846","tfcrmn@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PI Ramanagara (R) PS","27271321 / 9480802831","cpirnagarrmn2@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI Ramanagara (R) PS","27271321 / 9480802848","rnagarruralrmn@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PI Bidadi PS","27282237 / 9480802849","bidadirmn@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI Bidadi PS","27282237 / —",""
"Ranges","Central Range – Bengaluru","PI Harohally PS","27562240 / 9480802832","cpihhallirmn@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI Harohally PS","27562240 / 9480802850","hhallirmn@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PI Kaggalipura PS","28435250 / 9480802851","kaggalipurps@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI Kaggalipura PS","28435250 / —",""
"Ranges","Central Range – Bengaluru","DSP, Magadi","28434100 / 9480802866","Sdpomagadirmn2@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PI Magadi PS","27745224 / 9480802852","cpimagadirmn@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI Magadi PS","27745224 / —","magadirmn@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PI Kudur PS","27762241 / 9480802853","kudurrmn@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI Kudur PS","27762241 / —",""
"Ranges","Central Range – Bengaluru","PI Tavarekere PS","28434365 / 9480802854","tkerermn2@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI Tavarekere PS","28434365 / —",""
"Ranges","Central Range – Bengaluru","DSP, Channapatna","27251415 / 9480802821","sdpocpatnarmn@ksp.gov.in"
"Ranges","Central Range – Bengaluru","CPI Channapatna (T) Circle","27251621 / 9480802834","cpipatnatownrmn@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI Channapatna (T) PS","27251749 / 9480802855","cpatnatownrmn@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-1 Channapatna East PS","27251229 / 9480802856","cpatnaeastrmn@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-2 Channapatna East PS","27251229 / —",""
"Ranges","Central Range – Bengaluru","PSI Channapatna Traffic PS","27271010 / —","cpatnatfcrmn2@ksp.gov.in"
"Ranges","Central Range – Bengaluru","CPI Channapatna Rural Circle","27251416 / 9480802835","cpicpatnatownrmn@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI Channapatna Rural PS","27251256 / 9480802857","cpatnaruralrmn@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI Akkur PS","27263253 / 9480802858","akkurrmn@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI M.K. Doddi PS","— / 9480802859","mkdoddirmn@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PI Kanakapura (T) PS","27522441 / 9480802860","kpuratownrmn@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI Kanakapura (T) PS","27522441 / 9480802868",""
"Ranges","Central Range – Bengaluru","PSI Kanakapura Traffic","27562270 / 9480802869","kpuratfcrmn@ksp.gov.in"
"Ranges","Central Range – Bengaluru","CPI Kanakapura Circle","27522044 / 9480802836","kpuraruralrmn@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI Kanakapura (R) PS","27523616 / 9480802861","kpuraruralrmn@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI Kodihalli PS","27541240 / 9480802862","khallirmn@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI Sathanur PS","27551233 / 9480802863","Sathnoorrmn2@ksp.gov.in"
"Ranges","Central Range – Bengaluru","AAO","27271101 / —","aaormn@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PI DSB","27271102 / 9480802807","dsbrmn@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PI DCRB","27271103 / 9480802809","dcrbrmn@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PI DCIB","—","dcibsectionrmn@ksp.gov.in"
"Ranges","Central Range – Bengaluru","DSP DAR","27255488 / 9480802806","darrmn@ksp.gov.in"
"Ranges","Central Range – Bengaluru","RPI MTO","27255488 / 9480802837",""
"Ranges","Central Range – Bengaluru","PI ACB","27272705 / 9480806272",""
"Ranges","Central Range – Bengaluru","PI INT","27271807 / 9449878600",""
"Ranges","Central Range – Bengaluru","PI BESCOM","27273014 / 9448094808",""
"Ranges","Central Range – Bengaluru","District Jail","27274220 / 9480806415",""
"Ranges","Central Range – Bengaluru","Homeguard","27272265 / —",""
"Ranges","Central Range – Bengaluru","DC","27273777 / —",""
"Ranges","Central Range – Bengaluru","CEO ZP Office","27276720 / —",""
"Ranges","Central Range – Bengaluru","Govt. Hospital Ramanagara","27272248 / —",""
"Ranges","Central Range – Bengaluru","RTO","27273471 / —",""
"Ranges","Central Range – Bengaluru","Excise","27271059 / —",""
"Ranges","Central Range – Bengaluru","District Fire Officer","27273101 / —",""
"Ranges","Central Range – Bengaluru","Fire Station","29785101 / —",""
"Ranges","Central Range – Bengaluru","SP, Tumkur","2272451 / RES-2272461 / 9480802901","sptkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","Addl. SP-1, Tumkur","2274130 / 9480802902","addlsptkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","Addl. SP-2, Tumkur","— / 9480802905","addlsp2tkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","District Control Room","2278000 / 2277222 / 9480802900","dctkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PI (W) Control Room","— / 9480800932",""
"Ranges","Central Range – Bengaluru","DSP, Tumkur Sub Division","2272340 / 9480802920","sdpotkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PI Women PS","2290832 / 9480802985","womenpstkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-1 Women PS","2290832 / 9364098541",""
"Ranges","Central Range – Bengaluru","PSI-2 Women PS","2290832 / 9364098542",""
"Ranges","Central Range – Bengaluru","PI Cyber Crime PS","2271479 / 9480802908",""
"Ranges","Central Range – Bengaluru","PI Tumkur Town PS","2278388 / 9480802930","towntkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-1 Tumkur Town PS","— / 9480802945",""
"Ranges","Central Range – Bengaluru","PSI-2 Tumkur Town PS","— / 9364098496",""
"Ranges","Central Range – Bengaluru","PI Tumkur Traffic PS","2278207 / 9480802929","trafficeasttkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-1 Tumkur Traffic East PS","2278207 / 9480802947",""
"Ranges","Central Range – Bengaluru","PSI-2 Tumkur Traffic West PS","2278207 / 9480802946",""
"Ranges","Central Range – Bengaluru","CPI Thilak Park Circle","2276424 / 9480802932","cpithilakparktkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-1 Thilak Park PS","2278202 / 9480802981","thilakparktkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-2 Thilak Park PS","2278202 / 9364098499",""
"Ranges","Central Range – Bengaluru","PSI-1 New Extn PS","2278224 / 9480802951","newextenttkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-2 New Extn PS","2278224 / 9364098487",""
"Ranges","Central Range – Bengaluru","PSI-1 Jayanagara PS","2293389 / 9480802986","jayanagarpstkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-2 Jayanagara PS","2293389 / 9364098494",""
"Ranges","Central Range – Bengaluru","CPI Kyathasandra Circle","2281120 / 9480802933","kyathtasandratkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-1 Kyathasandra PS","2281124 / 9480802952",""
"Ranges","Central Range – Bengaluru","PSI-2 Kyathasandra PS","2281124 / 9364098498",""
"Ranges","Central Range – Bengaluru","PSI-1 Hebbur PS","2241036 / 9480802953","hebburtkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-2 Hebbur PS","2241036 / 9364098497",""
"Ranges","Central Range – Bengaluru","CPI Tumkur Rural Circle","2275301 / 9480802931","cpiruraltkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-1 Tumkur Rural PS","2278381 / 9480802948","tumkurruraltkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-2 Tumkur Rural PS","2278381 / 9364098490",""
"Ranges","Central Range – Bengaluru","PSI-1 Kora PS","2242006 / 9480802949","koratkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-2 Kora PS","2242006 / 9364098489",""
"Ranges","Central Range – Bengaluru","PSI-1 Bellavi PS","2240046 / 9480802950","bellavitkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-2 Bellavi PS","2240046 / 9364098493",""
"Ranges","Central Range – Bengaluru","DSP, Sira","08135-275184 / 9480802921","sdposiratkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","CPI Sira Rural Circle","275257 / 9480802934","cpisiraruraltkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-1 Kallambella PS","274738 / 9480802955","kallambellatkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-2 Kallambella PS","274738 / 9364098518",""
"Ranges","Central Range – Bengaluru","PSI-1 Patta Nayakana Hally PS","271058 / 9480802956","pnhallitkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-2 Patta Nayakana Hally PS","271058 / 9364098527",""
"Ranges","Central Range – Bengaluru","PSI-1 Tavarekere PS","272541 / 9480802957","tavarekeretkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-2 Tavarekere PS","272541 / 9364098520",""
"Ranges","Central Range – Bengaluru","PI Sira Town","275237 / 9480802958","siratowntkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-1 Sira PS","275237 / 9364098521",""
"Ranges","Central Range – Bengaluru","PSI-2 Sira PS","275237 / 9364098522",""
"Ranges","Central Range – Bengaluru","PSI-3 Sira PS","275237 / 9364098523",""
"Ranges","Central Range – Bengaluru","PSI-4 Sira PS","275237 / 9364098524",""
"Ranges","Central Range – Bengaluru","Bukkapatna OP","271509 / —",""
"Ranges","Central Range – Bengaluru","CPI Gubbi Circle","222210 / 9480802935","cpigubbitkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-1 Gubbi PS","222229 / 9480802959","gubbitkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-2 Gubbi PS","222229 / 9364098519",""
"Ranges","Central Range – Bengaluru","PSI-1 C.S Pura PS","246522 / 9480802960","cspuratkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-2 C.S Pura PS","246522 / 9364098526",""
"Ranges","Central Range – Bengaluru","PSI-1 Chelur PS","242222 / 9480802961","chelurtkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-2 Chelur PS","— / 9364098525",""
"Ranges","Central Range – Bengaluru","DSP, Kunigal","2202294 / 9480802922","sdpokunigaltkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PI Kunigal PS","220229 / 9480802962","kunigaltkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-1 Kunigal PS","— / 9364098511",""
"Ranges","Central Range – Bengaluru","PSI-2 Kunigal PS","— / 9364098512",""
"Ranges","Central Range – Bengaluru","PSI-3 Kunigal PS","— / 9364098513",""
"Ranges","Central Range – Bengaluru","PSI-4 Kunigal PS","— / 9364098514",""
"Ranges","Central Range – Bengaluru","CPI Amruthur Circle","225229 / 9480802936","cpiamrutgurtkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-1 Amruthur PS","— / 9480802963","amrutgurtkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-2 Amruthur PS","— / 9364098510",""
"Ranges","Central Range – Bengaluru","PSI-1 Huliyurdurga PS","223338 / 9480802964","huliyurdurgatkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-2 Huliyurdurga PS","— / 9364098517",""
"Ranges","Central Range – Bengaluru","CPI Turuvekere Circle","287466 / 9480802937","cpitvkeretkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-1 Turuvekere PS","287334 / 9480802965","turuvekeretkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-2 Turuvekere PS","287334 / 9364098515",""
"Ranges","Central Range – Bengaluru","PSI-1 Dandinashivara PS","278355 / 9480802966","dshivaratkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-2 Dandinashivara PS","— / 9364098516",""
"Ranges","Central Range – Bengaluru","DSP, Tiptur","08134-251084 / 9480802923","sdpotipturtkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PI Tiptur Town PS","251041 / 9480802970","tipturtowntkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-1 Tiptur Town PS","251041 / 9364098501",""
"Ranges","Central Range – Bengaluru","PSI-2 Tiptur Town PS","251041 / 9364098502",""
"Ranges","Central Range – Bengaluru","PI Tipatur Rural PS","251007 / 9480802967","tipturruraltkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-1 Tipatur Rural PS","251007 / 9364098470",""
"Ranges","Central Range – Bengaluru","PSI-2 Tipatur Rural PS","— / 9364098471",""
"Ranges","Central Range – Bengaluru","CPI Tiptur Rural Circle","2513827 / 9480802938","cpitipturruraltkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-1 Honnavalli PS","264710 / 9480802968","honnavallitkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-2 Honnavalli PS","264710 / 9364098503",""
"Ranges","Central Range – Bengaluru","PSI-1 Nonavinakere PS","258024 / 9480802969","nvkeretke@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-2 Nonavinakere PS","258024 / 9364098508",""
"Ranges","Central Range – Bengaluru","PSI-1 K.B. Cross PS","262055 / 9480802989","kbcrosstkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-2 K.B. Cross PS","262055 / 9364098505",""
"Ranges","Central Range – Bengaluru","CPI C.N.Halli Circle","267234 / 9480802939","cpicnhallitkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-1 C.N. Halli PS","267234 / 9480802971",""
"Ranges","Central Range – Bengaluru","PSI-2 C.N. Halli PS","267234 / 9364098506",""
"Ranges","Central Range – Bengaluru","PSI-1 Huliyar PS","256150 / 9480802972","huliyartkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-2 Huliyar PS","256150 / 9364098509",""
"Ranges","Central Range – Bengaluru","PSI-1 Handanakere PS","257660 / 9480802973","handanakeretkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-2 Handanakere PS","257660 / 9364098507",""
"Ranges","Central Range – Bengaluru","DSP, Madhugiri","282378 / 9480802924","sdpomadhugiritkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","CPI Madhugiri Circle","282381 / 9480802940","cpimadhugiritkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-1 Madhugiri PS","282381 / 9480802974",""
"Ranges","Central Range – Bengaluru","PSI-2 Madhugiri PS","282381 / 9364098528",""
"Ranges","Central Range – Bengaluru","PSI-1 Kodigenahalli PS","279534 / 9480802975","kodigenahallitkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-2 Kodigenahalli PS","279534 / 9364098534",""
"Ranges","Central Range – Bengaluru","PSI-1 Midigeshi PS","278634 / 9480802976","midigeshitkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-2 Midigeshi PS","278634 / 9364098535",""
"Ranges","Central Range – Bengaluru","PI Badavanahalli PS","284901 / 9480802982","badavanahallitkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-1 B D Halli PS","284901 / 9364098529",""
"Ranges","Central Range – Bengaluru","PSI-2 B D Halli PS","284901 / 9364098530",""
"Ranges","Central Range – Bengaluru","PI Pavagada (T) PS","245666 / 9480802941","pavagadatkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-1 Pavagada (T) PS","— / 9480802977",""
"Ranges","Central Range – Bengaluru","PSI-2 Pavagada (T) PS","— / 9364098531",""
"Ranges","Central Range – Bengaluru","PSI-3 Pavagada (T) PS","— / 9364098532",""
"Ranges","Central Range – Bengaluru","PSI-4 Pavagada (T) PS","— / 9364098533",""
"Ranges","Central Range – Bengaluru","CPI Pavagada Rural Circle","— / 9480802942","cpipavagadaruraltkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-1 Arasikere PS","248433 / 9480802978","arasikeretkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-2 Arasikere PS","248433 / 9364098536",""
"Ranges","Central Range – Bengaluru","PSI-1 Thirumani PS","240047 / 9480802980","thirumanitkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-2 Thirumani PS","240047 / 9364098537",""
"Ranges","Central Range – Bengaluru","PSI-1 Y.N.Hosakote PS","247635 / 9480802979","ynhosakotetkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-2 Y.N.Hosakote PS","247635 / 9364098540",""
"Ranges","Central Range – Bengaluru","CPI Koratagere Circle","232136 / 9480802954","cpikoratageretkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-1 Koratagere PS","232136 / 9480802988","koratageretkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-2 Koratagere PS","232136 / 9364098538",""
"Ranges","Central Range – Bengaluru","PSI-1 Kolala PS","236648 / 9480802987","kolalapstkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-2 Kolala PS","236648 / 9364098539",""
"Ranges","Central Range – Bengaluru","AAO","2271580 / —",""
"Ranges","Central Range – Bengaluru","DSP DCRE","0816-2260824 / 9480806117",""
"Ranges","Central Range – Bengaluru","DSP DAR","2285031 / 9480802906","dartkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PI DSB","2278140 / 9480802907","dsbtkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI DSB","— / 9364098480",""
"Ranges","Central Range – Bengaluru","PI DCRB","2271789 / 9480802909",""
"Ranges","Central Range – Bengaluru","PSI-1 DCRB","— / 9364098466",""
"Ranges","Central Range – Bengaluru","PSI-2 DCRB","— / 9364098467",""
"Ranges","Central Range – Bengaluru","DSP INT","2277554 / 9449878627","piinttkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PI FPB","— / 9480802910",""
"Ranges","Central Range – Bengaluru","PSI FPB","— / 9364098488",""
"Ranges","Central Range – Bengaluru","DSP ACB","2255522 / 9480806221",""
"Ranges","Central Range – Bengaluru","PI ISD","— / 9480800703",""
"Ranges","Central Range – Bengaluru","PI Cyber Crime PS","2271479 / 9480802908","picentkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-1 Cyber Crime PS","— / 9364098491","pidcbtkr@ksp.gov.in"
"Ranges","Central Range – Bengaluru","PSI-2 Cyber Crime PS","— / 9364098492",""
"Ranges","Central Range – Bengaluru","PI CIB","2260050 / —",""
"Ranges","Central Range – Bengaluru","RPI DAR","— / 9480802983",""
"Ranges","Central Range – Bengaluru","RPI DAR (MTO)","— / 9480802984",""
"Ranges","Central Range – Bengaluru","RSI DAR (multiple entries)","— / 9364098481 to 9364098486",""
"Ranges","Central Range – Bengaluru","PI BESCOM Vigilance","— / 9448094812",""
"Ranges","Central Range – Bengaluru","DC","0816-2272480 / 2278312 / —",""
"Ranges","Central Range – Bengaluru","CEO ZP","0816-2272898 / —",""
"Ranges","Central Range – Bengaluru","RTO Tumkur","0816-2278473 / —",""
"Ranges","Central Range – Bengaluru","Home Guard","0816-2278460 / —",""
"Ranges","Central Range – Bengaluru","District Session Judge","0816-2278273 / —",""
"Ranges","Central Range – Bengaluru","Public Prosecutor","0816-2272885 / —",""
"Ranges","Central Range – Bengaluru","DHO","0816-2278387 / 0816-2252025 / —",""
"Ranges","Central Range – Bengaluru","Fire Office","0816-2283101 / —",""
"Ranges","Central Range – Bengaluru","DSP Excise","2272927 / —",""
"Ranges","Central Range – Bengaluru","District Fire Officer","2283101 / —",""
"Ranges","Central Range – Bengaluru","Forest Officer","2201196 / —",""
"Ranges","Central Range – Bengaluru","DC KSRTC","2257149 / 7760990900",""
"Ranges","Central Range – Bengaluru","D.D, Women & Child Welfare Department","2272590 / —",""
"Ranges","Central Range – Bengaluru","Tahsildar Koratagere","08138-232153 / —",""
"Ranges","Central Range – Bengaluru","Tahsildar Madhugiri","08137-295533 / —",""
"Ranges","Eastern Range – Davanagere","IGP, Eastern Range","08192-237830 / RES-224220 / 9480800028","igper@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","DSP DE, IGP Office","237829 / 9480803218","deigper@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","DSP HQ, IGP Office","237829 / 9480803219",""
"Ranges","Eastern Range – Davanagere","DSP FPB, IGP Office","— / 9480800482",""
"Ranges","Eastern Range – Davanagere","AAO IGP Office","237829 / —",""
"Ranges","Eastern Range – Davanagere","SP, Davanagere","253400 / RES-223300 / 9480803201","spdvg@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","Addl. SP-1, Davanagere","232717 / RES-261422 / 9480803202","addlspdvg@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","Addl. SP-2, Davanagere","— / 9480803221",""
"Ranges","Eastern Range – Davanagere","District Control Room","259100 / 270011 / 9480803200","dcdvg@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","PI (W)","08192-253100 / 9480800946",""
"Ranges","Eastern Range – Davanagere","Cyber Crime PS","08192-233660 / —",""
"Ranges","Eastern Range – Davanagere","DSP, Davanagere City","259213 / 9480803220","sdpocitydvg@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","PI Vidya Nagar PS","262688 / 9480803251","vidyanagardvg@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","PI K.T.J Nagar PS","259285 / 9480803250","ktjnagardvg@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","PI Davanagere Extension PS","272012 / 9480803249","extnddvg@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","CPI Davanagere Traffic Circle","— / 9480803237","cpitrafficdvg@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","PSI South Traffic PS","259238 / 9480803253","trafficdvg@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","PSI North Traffic PS","234865 / 9480803271","trafficnorthdvg@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","PI Women PS","253088 / 9480803252","womenpsdvg@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","PSI Cyber Crime PS","225119 / 9480803209","cenpsdvg@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","PI Azadnagar PS","272010 / 9480803245","azadnagardvg@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","PI Basavanagar PS","272009 / 9480803246","basavanagadvg@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","CPI Gandhinagar Circle","— / 9480803233","cpicitydvg@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","PSI-1 Gandhinagar PS","272011 / 9480803247","ghandinagardvg@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","PSI-1 RMC Yard PS","272008 / 9480803248","rmcyarddvg@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","DSP, Davanagere Rural","262550 / 9480803222","sdporuraldvg@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","CPI Mayakonda Circle","272014 / 9480803232","cpiruraldvg@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","PSI Mayakonda PS","— / 9480803255","mayakondadvg@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","PSI Hadadi PS","218405 / 9483739556 / 9480803254","hadadidvg@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","PI Davanagere Rural PS","262555 / 9480803256","ruraldvg@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","CPI Harihara Circle","272016 / 9480803234","cpihariharadvg@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","PSI Harihara Rural PS","272107 / 9480803258","harihararuraldvg@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","PSI Malebennuru PS","268758 / 9480803259","malebennurdvg@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","PI Harihara Town PS","272016 / 9480803257","hariharatowndvg@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","PI Jagalur","227329 / 9480803270","jlrdvg@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","PI Bilichodu PS","248244 / 9480803269","bilichodudvg@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","ASP, Chennagiri","229133 / 9480803223",""
"Ranges","Eastern Range – Davanagere","CPI Santhebennuru Circle","— / 9480803230","cpichannagiridvg@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","PSI Santhebennuru PS","08180-256437 / 9480803262","santhebennurdvg@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","PSI Basavapatanna PS","272463 / 9480803260","basavapatnadvg@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","PI Channagiri PS","228133 / 9480803261","channagiridvg@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","PI Honnali PS","251100 / 9480803235","honnallidvg@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","PSI Honnali PS","251100 / 9480803263",""
"Ranges","Eastern Range – Davanagere","PI Nyamathi PS","265349 / 9480803264","nyamathidvg@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","PSI Nyamathi PS","265349 / —",""
"Ranges","Eastern Range – Davanagere","AAO","272003 / —",""
"Ranges","Eastern Range – Davanagere","DSP DCRB","272004 / 9480803223","dcrbdvg@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","DSP INT","260503 / 9449878525",""
"Ranges","Eastern Range – Davanagere","DSP ISD","— / 9480800622",""
"Ranges","Eastern Range – Davanagere","PI DSB","272002 / 9480803207",""
"Ranges","Eastern Range – Davanagere","DSP FPB","— / 9480800482",""
"Ranges","Eastern Range – Davanagere","PI FPB","— / 9480803210",""
"Ranges","Eastern Range – Davanagere","PI INT","230501 / —",""
"Ranges","Eastern Range – Davanagere","PI KLA","254842 / —",""
"Ranges","Eastern Range – Davanagere","DSP DAR","272005 / 9480803206","dardvg@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","RPI DAR (MTO)","272005 / 9480803231","mtdardvg@ksp.gov.in"
"Ranges","Eastern Range – Davanagere","PI KPTCL","257599 / —",""
"Ranges","Eastern Range – Davanagere","PI Railway","259643 / 9480800469",""
"Ranges","Eastern Range – Davanagere","PI BESCOM","257599 / —",""
"Ranges","Eastern Range – Davanagere","PI ISD","— / 9480800662",""
"Ranges","Eastern Range – Davanagere","DC","234640 / —",""
"Ranges","Eastern Range – Davanagere","CEO ZP","261485 / —",""
