AGID,Name,Rank,Email,Mobile,Landline,District,Office,Unit
AGID1655,PI Chikkamagaluru Town PS,PI,townckm@ksp.gov.in,9480805145,08262-235333,Chikkamagaluru,CHIKKAMAGALURU TOWN PS,L&O
AGID2667,PI Chikmagalur,PI,ckmpsdcre@ksp.gov.in,9480806172,08262-232335,Western,PS Chikmagalur,DCRE
AGID1656,PI Chintamani (R) PS,PI,cmaniruralcbpura@ksp.gov.in,9480802554,08154-252121,Chikkaballapura,CHINTAMANI (R) PS,L&O
AGID1657,PI Chintamani (T) PS,PI,cmanitowncbpura@ksp.gov.in,9480802553,08154-252140,Chikkaballapura,CHINTAMANI (T) PS,L&O
AGID2646,PI Chitradurga,PI,ctapsdcre@ksp.gov.in,9480806160,08194-200719,Eastern,PS Chitradurga,DCRE
AGID1658,PI Chitradurga (R) PS,PI,cpiruralcta@ksp.gov.in,9480803131,08194-230156,Chitradurga,CHITRADURGA (R) PS,L&O
AGID1659,PI Chitradurga (T) PS,PI,towncta@ksp.gov.in,9480803146,08194-222333,Chitradurga,CHITRADURGA (T) PS,L&O
AGID1660,PI Chitradurga Kote PS,PI,kotecta@ksp.gov.in,9480803147,08194-222933,Chitradurga,CHITRADURGA KOTE PS,L&O
AGID1661,PI Chittawadagi PS,PI,chitawadgivjn@ksp.gov.in,9480805733,08394-228543,Vijayanagara,CHITTAWADAGI PS,L&O
AGID1662,PI Chowk PS,PI,chowkkbe@ksp.gov.in,9480805524,263622,Kalaburagi City,CHOWK PS,L&O
AGID1664,PI City Market PS,PI,marketbcp@ksp.gov.in,9480801717,22942506,Bengaluru City,CITY MARKET PS,L&O
AGID1665,PI Commercial Street PS,PI,commercialbcp@ksp.gov.in,9480801218,22942549,Bengaluru City,COMMERCIAL STREET PS,L&O
AGID1666,PI Cottonpet PS,PI,cotpetbcp@ksp.gov.in,9480801719,22942508,Bengaluru City,COTTONPET PS,L&O
AGID1667,PI Cowl Bazar PS,PI,cowlbazarblr@ksp.gov.in,9480803047,08392-240731,Ballari,COWL BAZAR PS,L&O
AGID1569,PI Crime IGP Office,"IGP, PI",,9480802419,22250419,Central Range Bengaluru,PI Crime IGP Office,Admin
AGID1674,PI Cubbon Park PS,PI,cparkbcp@ksp.gov.in,9480801122,22942591,Bengaluru City,CUBBON PARK PS,L&O
AGID1675,PI D.B. Pura Town PS,PI,dbpuratownbng@ksp.gov.in,9480802454,27625601,Bengaluru,D.B. PURA TOWN PS,L&O
AGID1676,PI D.J. Halli PS,PI,djhallibcp@ksp.gov.in,9480801220,22942550,Bengaluru City,D.J. HALLI PS,L&O
AGID1679,PI DCIB,PI,pidcibunithbdrr@ksp.gov.in,9480803408,,Bidar,PI DCIB,DCIB
AGID1686,PI DCIB,PI,pidcibmdy@ksp.gov.in,9480804808,,Mandya,PI DCIB,DCIB
AGID1680,PI DCIB,PI,dcrbchpura@ksp.gov.in,,8156277219,Chikkaballapura,PI DCIB,DCIB
AGID1683,PI DCIB,PI,,,,Gadag,PI DCIB,DCIB
AGID1684,PI DCIB,PI,dcibgha@ksp.gov.in,9480803508,08472-263610,Kalaburagi,PI DCIB,DCIB
AGID1682,PI DCIB,PI,deibdwd@ksp.gov.in,,0836-2444969,Dharwad,PI DCIB,DCIB
AGID1685,PI DCIB,PI,dcibkgf@ksp.gov.in,9480802708,274577,KGF,PI DCIB,DCIB
AGID1687,PI DCIB,PI,dcibukwr@ksp.gov.in,9480805208,08382-226893,Uttara Kannada,PI DCIB,DCIB
AGID1681,PI DCIB,PI,pidcibcta@ksp.gov.in,9480803108,,Chitradurga,PI DCIB,DCIB
AGID0322,PI DCRB,PI,derbmer@ksp.gov.in,,,Kodagu,PI DCRB,DCRB
AGID0321,PI DCRB,PI,dcrbkgf@ksp.gov.in,9480802709,274577,KGF,PI DCRB,DCRB
AGID0319,PI DCRB,PI,dcrbchpura@ksp.gov.in,,8156277216,Chikkaballapura,PI DCRB,DCRB
AGID0323,PI DCRB,PI,dcrbklr@ksp.gov.in,9480802609,243062,Kolar,PI DCRB,DCRB
AGID0320,PI DCRB,PI,,9480803267,08192-230501,Davanagere,PI DCRB,DCRB
AGID0328,PI DCRB,PI,dcrvjn@ksp.gov.in,9480805708,,Vijayanagara,PI DCRB,DCRB
AGID0317,PI DCRB,PI,derbbdr@ksp.gov.in,9480803410,,Bidar,PI DCRB,DCRB
AGID0326,PI DCRB,PI,derbshig@ksp.gov.in,9480803309,08182-261422,Shivamogga,PI DCRB,DCRB
AGID0329,PI DCRB,PI,derbydr@ksp.gov.in,9480803661,08473-253738,Yadgiri,PI DCRB,DCRB
AGID0324,PI DCRB,PI,,,,Raichur,PI DCRB,DCRB
AGID0318,PI DCRB,PI,,,822622217,Chamarajanagara,PI DCRB,DCRB
AGID0325,PI DCRB,PI,dcrbrmn@ksp.gov.in,9480802809,27271103,Ramanagara,PI DCRB,DCRB
AGID0331,PI DCRB CDR Section,PI,derbmdy@ksp.gov.in,9480804809,8232221226,Mandya,PI DCRB CDR Section,DCRB
AGID0330,PI DCRB Hassan,PI,dcbhsn@ksp.gov.in,9480804709,,Hassan,PI DCRB Hassan,DCRB
AGID0362,PI DSB,PI,dsbtkr@ksp.gov.in,9480802909,2271789,Tumkur,PI DSB,DSB
AGID0369,PI DSB,PI,pidsbblr@ksp.gov.in,9480803007,08392-257886,Ballari,PI DSB,DSB
AGID0346,PI DSB,PI,dsbckm@ksp.gov.in,9480805107,08262-235400,Chikkamagaluru,PI DSB,DSB
AGID0360,PI DSB,PI,dsbrmn@ksp.gov.in,9480802807,27271102,Ramanagara,PI DSB,DSB
AGID0356,PI DSB,PI,dsbklr@ksp.gov.in,9480802608,243444,Kolar,PI DSB,DSB
AGID0357,PI DSB,PI,dsbmdy@ksp.gov.in,9480804807,8232224242,Mandya,PI DSB,DSB
AGID0348,PI DSB,PI,dsbmaq@ksp.gov.in,9480805307,0824-2443868,Dakshina Kannada,PI DSB,DSB
AGID0340,PI DSB,PI,dsbbgk@ksp.gov.in,9480803907,08354-235076,Bagalkote,PI DSB,DSB
AGID0352,PI DSB,PI,dsbhvr@ksp.gov.in,9480804507,08375-233120,Haveri,PI DSB,DSB
AGID0364,PI DSB,PI,dsbukwr@ksp.gov.in,9480805207,08382-220754,Uttara Kannada,PI DSB,DSB
AGID0354,PI DSB,PI,dsbkgf@ksp.gov.in,9480802707,274292,KGF,PI DSB,DSB
AGID0366,PI DSB,PI,pidsbbjp@ksp.gov.in,9480804224,08352-250022/240808,Vijayapura,PI DSB,DSB
AGID0359,PI DSB,PI,,,,Raichur,PI DSB,DSB
AGID0358,PI DSB,PI,pidsbmys@ksp.gov.in,9480805007,821252971,Mysuru,PI DSB,DSB
AGID0347,PI DSB,PI,,9480803107,08194-224728,Chitradurga,PI DSB,DSB
AGID0341,PI DSB,PI,,9480804130,0831-2405225,Belagavi,PI DSB,DSB
AGID0361,PI DSB,PI,dsbshig@ksp.gov.in,9480803307,08182-261436,Shivamogga,PI DSB,DSB
AGID0365,PI DSB,PI,dsvjn@ksp.gov.in,9480805709,,Vijayanagara,PI DSB,DSB
AGID0344,PI DSB,PI,dsbchn@ksp.gov.in,9480804607,8226222908,Chamarajanagara,PI DSB,DSB
AGID0353,PI DSB,PI,dshgha@ksp.gov.in,9480803507,08472-263610,Kalaburagi,PI DSB,DSB
AGID0351,PI DSB,PI,dsbgdg@ksp.gov.in,9480804407,08372-220117,Gadag,PI DSB,DSB
AGID0343,PI DSB,PI,dsbbdr@ksp.gov.in,9480803407,08482-227231,Bidar,PI DSB,DSB
AGID0363,PI DSB,PI,dsbudp@ksp.gov.in,9480805467,0820-2524366,Udupi,PI DSB,DSB
AGID0367,PI DSB,PI,dsbydr@ksp.gov.in,9480803660,08473-253737,Yadgiri,PI DSB,DSB
AGID0349,PI DSB,PI,,9480803265,08192-272004,Davanagere,PI DSB,DSB
AGID0355,PI DSB,PI,dsbmer@ksp.gov.in,9480804907,8272223056,Kodagu,PI DSB,DSB
AGID0345,PI DSB,PI,dsbchpura@ksp.gov.in,,8156277215,Chikkaballapura,PI DSB,DSB
AGID0350,PI DSB,PI,dsbdwd@ksp.gov.in,8277968303,0836-2233207,Dharwad,PI DSB,DSB
AGID0368,PI DSB Hassan,PI,dsbhsn@ksp.gov.in,9480804707,,Hassan,PI DSB Hassan,DSB
AGID2668,PI Dakshina Kannada,PI,dkpsdcre@ksp.gov.in,9480806166,0824-2003544,Western,PS Dakshina Kannada,DCRE
AGID2647,PI Davanagere,PI,dvgpsdcre@ksp.gov.in,9480806162,08192-259575,Eastern,PS Davanagere,DCRE
AGID1677,PI Davanagere Extension PS,PI,extnddyg@ksp.gov.in,9480803249,08192-272012,Davanagere,DAVANAGERE EXTENSION PS,L&O
AGID1678,PI Davanagere Rural PS,PI,ruraldvg@ksp.gov.in,9480803256,08192-262555,Davanagere,DAVANAGERE RURAL PS,L&O
AGID1688,PI Devadurga PS,PI,deodurgarcr@ksp.gov.in,9480803858,08531-260333,Raichur,DEVADURGA PS,L&O
AGID1689,PI Devanahalli PS,PI,devanahallipsbcp@ksp.gov.in,9480801420,27680333,Bengaluru City,DEVANAHALLI PS,L&O
AGID2098,PI Devaraja PS,PI,devarajamyceiksp.gov.in,9480802231,2418106,Mysuru City,DEVARAJA PS,L&O
AGID0634,PI Devaraja Traffic PS,PI,devarajatrafficmyc@ksp.gov.in,9480802248,2418326,Mysuru City,DEVARAJA TRAFFIC PS,Traffic
AGID2657,PI Dharwad,PI,dwdpsdcre@ksp.gov.in,9480806152,0836-2445580,Northern,PS Dharwad,DCRE
AGID1690,PI Dharwad Rural PS,PI,dharwadruraldwd@ksp.gov.in,9480804345,0836-2233215,Dharwad,DHARWAD RURAL PS,L&O
AGID1691,PI Dobbospet PS,PI,dobbaspethbng@ksp.gov.in,9480802462,27734231,Bengaluru,DOBBOSPET PS,L&O
AGID1692,PI Dodda Belavangala PS,PI,dbvangalabng@ksp.gov.in,9480802455,27655241,Bengaluru,DODDA BELAVANGALA PS,L&O
AGID1693,PI Doddaballapur (R) PS,PI,bdpuraruralbng@ksp.gov.in,9480802453,27622025,Bengaluru,DODDABALLAPUR (R) PS,L&O
AGID1694,PI Doddapete PS,PI,doddapeteshi@ksp.gov.in,9480803330,08182-261415,Shivamogga,DODDAPETE PS,L&O
AGID1695,PI Electronic City PS,PI,electroniccitybcp@ksp.gov.in,9480801623,22943469,Bengaluru City,ELECTRONIC CITY PS,L&O
AGID0396,PI Excise,PI,exciseudp@nic.in,,8202532732,Udupi,PI Excise,Excise
AGID0442,PI FPB,PI,,9480803268,08192-272005,Davanagere,PI FPB,FPB
AGID0453,PI FPB,PI,fpvjn@ksp.gov.in,9480805711,,Vijayanagara,PI FPB,FPB
AGID0439,PI FPB,PI,,9480804610,,Chamarajanagara,PI FPB,FPB
AGID0456,PI FPB,PI,fcukbc@ksp.gov.in,,,Kalaburagi City,PI FPB,FPB
AGID0447,PI FPB,PI,fpkpl@ksp.gov.in,9480803710,,Koppal,PI FPB,FPB
AGID0446,PI FPB,PI,fpbklr@ksp.gov.in,9480802637,,Kolar,PI FPB,FPB
AGID0449,PI FPB,PI,fpbmyc@ksp.gov.in,9480805010,,Mysuru,PI FPB,FPB
AGID0438,PI FPB,PI,fpubdr@ksp.gov.in,9480806025,,Bidar,PI FPB,FPB
AGID0436,PI FPB,PI,,9480804010,,Belagavi,PI FPB,FPB
AGID0437,PI FPB,PI,fpbhng@ksp.gov.in,9480802438,22942198,Bengaluru,PI FPB,FPB
AGID0445,PI FPB,PI,fpugba@ksp.gov.in,9480803510,,Kalaburagi,PI FPB,FPB
AGID0444,PI FPB,PI,fpugdg@ksp.gov.in,9480804410,08372-233260,Gadag,PI FPB,FPB
AGID0441,PI FPB,PI,fpbmaq@ksp.gov.in,9448998729,0824-2482800,Dakshina Kannada,PI FPB,FPB
AGID0448,PI FPB,PI,,9480804810,,Mandya,PI FPB,FPB
AGID0435,PI FPB,PI,fpubgk@ksp.gov.in,,,Bagalkote,PI FPB,FPB
AGID0450,PI FPB,PI,,,,Raichur,PI FPB,FPB
AGID0452,PI FPB,PI,fpbtkr@ksp.gov.in,9480802983,,Tumkur,PI FPB,FPB
AGID0454,PI FPB Hassan,PI,,9480804785,,Hassan,PI FPB Hassan,FPB
AGID1696,PI Farahatabad PS,PI,farthabadkbe@ksp.gov.in,9480805529,213033,Kalaburagi City,FARAHATABAD PS,L&O
AGID1697,PI Field-1,PI,,9480801062,,Bengaluru City,PI Field-1,L&O
AGID1698,PI Field-2,PI,,9113202098,22942192,Bengaluru City,PI Field-2,L&O
AGID1699,PI Field-3,PI,,9480801083,,Bengaluru City,PI Field-3,L&O
AGID0384,PI GESCOM,PI,,,08473-250630,Yadgiri,PI GESCOM,ESCOM
AGID0382,PI GESCOM,PI,,,08392-258753,Ballari,PI GESCOM,ESCOM
AGID0383,PI GESCOM,PI,,,,Raichur,PI GESCOM,ESCOM
AGID2658,PI Gadag,PI,gdgpsdcre@ksp.gov.in,9480806154,08372-200223,Northern,PS Gadag,DCRE
AGID1700,PI Gadag Rural PS,PI,cpiruralgdg@ksp.gov.in,9480804431,08372-278703,Gadag,GADAG RURAL PS,L&O
AGID1701,PI Gadag Town PS,PI,towngdg@ksp.gov.in,9480804430,08372-235233,Gadag,GADAG TOWN PS,L&O
AGID1702,PI Gandhi Chowk PS,PI,gandhichowkbjp@ksp.gov.in,9480804200,,Vijayapura,GANDHI CHOWK PS,L&O
AGID1703,PI Gandhi Gunj PS,PI,gandhigunjbdr@ksp.gov.in,9480803448,08482-226233,Bidar,GANDHI GUNJ PS,L&O
AGID1704,PI Gandhinagar PS,PI,gandhinagarblr@ksp.gov.in,9480803046,08392-272192,Ballari,GANDHINAGAR PS,L&O
AGID1705,PI Gangammanagudi PS,PI,gggudibcp@ksp.gov.in,9480801326,22942530,Bengaluru City,GANGAMMANAGUDI PS,L&O
AGID1706,PI Gangavati Rural PS,PI,gvtruralkpl@ksp.gov.in,9480803730,08533-230854,Koppal,GANGAVATI RURAL PS,L&O
AGID1707,PI Gangavati Town PS,PI,gvttownkpl@ksp.gov.in,9480803752,08533-230633,Koppal,GANGAVATI TOWN PS,L&O
AGID1708,PI Ghantikeri PS,PI,ghantikerihde@ksp.gov.in,9480802022,2233527,Hubballi–Dharwad City,GHANTIKERI PS,L&O
AGID1709,PI Ghataprabha PS,PI,ghataprabhabgm@ksp.gov.in,9480804070,08332-286233,Belagavi,GHATAPRABHA PS,L&O
AGID1710,PI Girinagar PS,PI,gnagarbcp@ksp.gov.in,9480801528,22942577,Bengaluru City,GIRINAGAR PS,L&O
AGID1711,PI Gokarna PS,PI,gokarnaukwr@ksp.gov.in,9480805251,08386-256133,Uttara Kannada,GOKARNA PS,L&O
AGID1712,PI Gokul Road PS,PI,gokulroadhde@ksp.gov.in,9480802047,2233552,Hubballi–Dharwad City,GOKUL ROAD PS,L&O
AGID1713,PI Govindapura PS,PI,govindpurabcp@ksp.gov.in,9480801024,22943305,Bengaluru City,GOVINDAPURA PS,L&O
AGID1714,PI Gundlupete PS,PI,gundlupetehn@ksp.gov.in,9480804651,8229222228,Chamarajanagara,Gundlupete PS,L&O
AGID1715,PI Gurmitkal,PI,cpigurmitkalydr@ksp.gov.in,9480803543,08473-225153,Yadgiri,PI Gurmitkal,L&O
AGID1716,PI H.A.L PS,PI,halbcp@ksp.gov.in,9480801616,22942542,Bengaluru City,H.A.L PS,L&O
AGID1717,PI H.D. Kote PS,PI,hdkotemys@ksp.gov.in,9480805063,8228255329,Mysuru,H.D. Kote PS,L&O
AGID1718,PI H.S.R Layout PS,PI,hsrlayoutbcp@ksp.gov.in,9480801626,22943467,Bengaluru City,H.S.R LAYOUT PS,L&O
AGID1719,PI Halasoor Gate PS,PI,hgatebcp@ksp.gov.in,9480801115,22942075,Bengaluru City,HALASOOR GATE PS,L&O
AGID1720,PI Halasoor PS,PI,halsoorbcp@ksp.gov.in,9480801226,22942540,Bengaluru City,HALASOOR PS,L&O
AGID1721,PI Hanumanthanagara PS,PI,hnagarbcp@ksp.gov.in,9480801524,22942576,Bengaluru City,HANUMANTHANAGARA PS,L&O
AGID1722,PI Hanuru PS,PI,hanurchn@ksp.gov.in,9480804656,8224268803,Chamarajanagara,Hanuru PS,L&O
AGID1723,PI Harihara Town PS,PI,hariharatowndvg@ksp.gov.in,9480803257,08192-272016,Davanagere,HARIHARA TOWN PS,L&O
AGID1724,PI Hassan (R) PS,PI,ruralhsn@ksp.gov.in,9480804746,817226893,Hassan,HASSAN (R) PS,L&O
AGID1725,PI Hassan City PS,PI,townhsn@ksp.gov.in,9480804745,8172268333,Hassan,HASSAN CITY PS,L&O
AGID1726,PI Hassan Extension PS,PI,extensionhsn@ksp.gov.in,9480804730,8172268967,Hassan,HASSAN EXTENSION PS,L&O
AGID0617,PI Hassan Traffic PS,PI,traffichsn@ksp.gov.in,9480804749,8172272846,Hassan,Hassan Traffic PS,Traffic
AGID2648,PI Haveri,PI,hvrpsdcre@ksp.gov.in,9480806164,08375-200867,Eastern,PS Haveri,DCRE
AGID1727,PI Haveri Town PS,PI,haveritownhvr@ksp.gov.in,9480804545,08375-232333,Haveri,HAVERI TOWN PS,L&O
AGID1728,PI Hebbagodi PS,PI,hebbagodibng@ksp.gov.in,9480802451,27832922,Bengaluru,HEBBAGODI PS,L&O
AGID1729,PI Hebbala PS,PI,hebbalbcp@ksp.gov.in,9480801331,22942535,Bengaluru City,HEBBALA PS,L&O
AGID2099,PI Hebbala PS,PI,hebbalmyceiksp.gov.in,9480802260,2418318,Mysuru City,HEBBALA PS,L&O
AGID1730,PI Hennuru PS,PI,hennurbcp@ksp.gov.in,9480801225,22942557,Bengaluru City,HENNURU PS,L&O
AGID1731,PI High Court Security,PI,,,22943282,Bengaluru City,PI High Court Security,L&O
AGID1732,PI High Court Vigilance,PI,,9448589038,,Bengaluru City,PI High Court Vigilance,L&O
AGID1733,PI High Ground PS,PI,hgroundbcp@ksp.gov.in,9480801126,22942587,Bengaluru City,HIGH GROUND PS,L&O
AGID1734,PI Hirebagewadi PS,PI,hirebagewadibgm@ksp.gov.in,9480804058,2405240,Belagavi City,HIREBAGEWADI PS,L&O
AGID1735,PI Hiriyur (T) PS,PI,hiriyurcta@ksp.gov.in,9480803153,08193-263444,Chitradurga,HIRIYUR (T) PS,L&O
AGID1736,PI Hiriyur Rural PS,PI,hiriyurruralcta@ksp.gov.in,9480803115,08193-263555,Chitradurga,HIRIYUR RURAL PS,L&O
AGID1737,PI Holehonnur PS,PI,holehonnurshi@ksp.gov.in,9480803359,08282-235494,Shivamogga,HOLEHONNUR PS,L&O
AGID1738,PI Honnalli PS,PI,hannallidvg@ksp.gov.in,9480803261,,Davanagere,HONNALLI PS,L&O
AGID1739,PI Hosadurga PS,PI,cpihsdcta@ksp.gov.in,9480803134,08199-230217,Chitradurga,HOSADURGA PS,L&O
AGID1740,PI Hosahalli PS,PI,hosahallybng@ksp.gov.in,9480802456,27656008,Bengaluru,HOSAHALLI PS,L&O
AGID1741,PI Hosakote PS,PI,hosakotebng@ksp.gov.in,9480802432,27931570,Bengaluru,HOSAKOTE PS,L&O
AGID0618,PI Hosakote Traffic PS,PI,hosakotetrfbng@ksp.gov.in,9480802445,27931199,Bengaluru,HOSAKOTE TRAFFIC PS,Traffic
AGID1742,PI Hosamane PS,PI,hosamaneshi@ksp.gov.in,9480803312,08282-266022,Shivamogga,HOSAMANE PS,L&O
AGID1743,PI Hospet Rural PS,PI,hospetruralvjn@ksp.gov.in,9480805746,08394-228233,Vijayanagara,HOSPET RURAL PS,L&O
AGID1744,PI Hospet Town PS,PI,hospettownvjn@ksp.gov.in,9480805745,08394-224033,Vijayanagara,HOSPET TOWN PS,L&O
AGID0619,PI Hospet Traffic PS,PI,hospettrafficvjn@ksp.gov.in,9480805756,08394-230255,Vijayanagara,HOSPET TRAFFIC PS,Traffic
AGID1745,PI Hubballi Rural PS,PI,hubliruraldwd@ksp.gov.in,9480804350,0836-2233218,Dharwad,HUBBALLI RURAL PS,L&O
AGID1746,PI Hukkeri PS,PI,cpihukkeribgm@ksp.gov.in,9480804036,08333-265133,Belagavi,HUKKERI PS,L&O
AGID1747,PI Hulimavu PS,PI,hulimavubcp@ksp.gov.in,9480801622,22943470,Bengaluru City,HULIMAVU PS,L&O
AGID1748,PI Hunsur Rural PS,PI,hunsururalmys@ksp.gov.in,9480805056,8222252042,Mysuru,Hunsur Rural PS,L&O
AGID1749,PI Hunsur Town PS,PI,hunsurtownmys@ksp.gov.in,9480805034,8222252133,Mysuru,Hunsur Town PS,L&O
AGID1750,PI Hutti PS,PI,huttircr@ksp.gov.in,9480803855,08537-275033,Raichur,HUTTI PS,L&O
AGID1753,PI INT,PI,,,08392-277974,Ballari,PI INT,S INT
AGID1754,PI INT,PI,,,08192-272005,Davanagere,PI INT,S INT
AGID1756,PI INT,PI,,,8232224728,Mandya,PI INT,S INT
AGID1758,PI INT,PI,,9449878626,08182-227273,Shivamogga,PI INT,S INT
AGID1755,PI INT,PI,,9449878613,08372-245044,Gadag,PI INT,S INT
AGID1759,PI INT,PI,piintudp@ksp.gov.in,9449878629,0820-2521278,Udupi,PI INT,S INT
AGID1757,PI INT,PI,,9449878600,27271807,Ramanagara,PI INT,S INT
AGID1760,PI INT,PI,,9449878615,08473-252266,Yadgiri,PI INT,S INT
AGID1761,PI INT DWD,PI,,9449878612,0836-2271302,Dharwad,PI INT DWD,S INT
AGID1762,PI INT Koppal,PI,,,08539-222133,Koppal,PI INT Koppal,S INT
AGID0520,PI ISD,PI,,,,Raichur,PI ISD,ISD
AGID0523,PI ISD,PI,isdukwr@ksp.gov.in,9480800709,-,Uttara Kannada,PI ISD,ISD
AGID0526,PI ISD,PI,,9480800691,,Mysuru City,PI ISD,ISD
AGID0512,PI ISD,PI,isdckm@ksp.gov.in,9480800705,-,Chikkamagaluru,PI ISD,ISD
AGID0513,PI ISD,PI,,9480800662,,Davanagere,PI ISD,ISD
AGID0517,PI ISD,PI,,9480800699,,Kolar,PI ISD,ISD
AGID0525,PI ISD,PI,,9480800693,,Mangaluru City,PI ISD,ISD
AGID0522,PI ISD,PI,piisdudp@ksp.gov.in,9480800697,-,Udupi,PI ISD,ISD
AGID0519,PI ISD,PI,,9480800691,821247445,Mysuru,PI ISD,ISD
AGID0518,PI ISD,PI,,9480800694,,Mandya,PI ISD,ISD
AGID0511,PI ISD,PI,,9480800692,,Chamarajanagara,PI ISD,ISD
AGID0515,PI ISD,PI,,9480800696,,Hubballi–Dharwad City,PI ISD,ISD
AGID0521,PI ISD,PI,,9480802984,,Tumkur,PI ISD,ISD
AGID0516,PI ISD,PI,,9480800663,,Kalaburagi,PI ISD,ISD
AGID0514,PI ISD,PI,,9480800686,,Hassan,PI ISD,ISD
AGID0524,PI ISD,PI,,9480800095,,Ballari,PI ISD,ISD
AGID0510,PI ISD,PI,,9480800695,,Ballari,PI ISD,ISD
AGID2100,PI Immigration Airport,PI,,,2220534,Mangaluru City,PI Immigration Airport,L&O
AGID1751,PI Indi (T) PS,PI,inditownbjp@ksp.gov.in,,08359-225333,Vijayapura,INDI (T) PS,L&O
AGID1752,PI Indiranagar PS,PI,inagarbcp@ksp.gov.in,9480801228,22942541,Bengaluru City,INDIRANAGAR PS,L&O
AGID1763,PI J.B. Nagar PS,PI,jbnagarbcp@ksp.gov.in,9480801229,22942543,Bengaluru City,J.B. NAGAR PS,L&O
AGID1764,PI J.C. Nagar PS,PI,jcngarbcp@ksp.gov.in,9480801329,22942534,Bengaluru City,J.C. NAGAR PS,L&O
AGID1765,PI J.J. Nagar PS,PI,jjnagarbcp@ksp.gov.in,9480801720,22942509,Bengaluru City,J.J. NAGAR PS,L&O
AGID1766,PI J.P. Nagar PS,PI,jpnagarbcp@ksp.gov.in,9480801517,22942563,Bengaluru City,J.P. NAGAR PS,L&O
AGID1767,PI Jagalur PS,PI,jlrdvg@ksp.gov.in,9480803270,08196-227329,Davanagere,JAGALUR PS,L&O
AGID1768,PI Jalahalli PS,PI,jhallibcp@ksp.gov.in,9480801323,22942527,Bengaluru City,JALAHALLI PS,L&O
AGID2101,PI Jayalakshmipuram PS,PI,jailaxmipurammyceiksp.gov.in,9480802240,2418316,Mysuru City,JAYALAKSHMIPURAM PS,L&O
AGID1769,PI Jayanagar PS,PI,pijnagarbcp@ksp.gov.in,9480801515,22942562,Bengaluru City,JAYANAGAR PS,L&O
AGID1770,PI Jayanagara PS,PI,jayanagarashi@ksp.gov.in,9480803348,08182-261416,Shivamogga,JAYANAGARA PS,L&O
AGID1771,PI Jigani PS,PI,jiganibng@ksp.gov.in,9480802476,27825108,Bengaluru,JIGANI PS,L&O
AGID1772,PI Jnanabharathi PS,PI,jnbharathibcp@ksp.gov.in,9480801730,22942516,Bengaluru City,JNANABHARATHI PS,L&O
AGID1773,PI K.G. Halli PS,PI,kghallibcp@ksp.gov.in,9480801223,22942556,Bengaluru City,K.G. HALLI PS,L&O
AGID1774,PI K.M.Doddi,PI,cpikmdoddimdy@ksp.gov.in,9480804835,8232245132,Mandya,K.M.Doddi PS,L&O
AGID1775,PI K.R. Nagar PS,PI,krnagarmys@ksp.gov.in,9480805050,8212418714,Mysuru,K.R. Nagar PS,L&O
AGID2102,PI K.R. PS,PI,krishnarajamyc@ksp.gov.in,9480802242,2418319,Mysuru City,K.R. PS,L&O
AGID1776,PI K.R. Puram PS,PI,krpurambcp@ksp.gov.in,9480801221,22942553,Bengaluru City,K.R. PURAM PS,L&O
AGID0635,PI K.R. Traffic PS,PI,,9480802249,2418130,Mysuru City,K.R. TRAFFIC PS,Traffic
AGID1777,PI K.R.Pet (R) PS,PI,krpetruralmdy@ksp.gov.in,9480804860,823026244,Mandya,K.R.PET (R) PS,L&O
AGID1778,PI K.R.Pet (T) PS,PI,epikrpetmdy@ksp.gov.in,9480804833,8230262368,Mandya,K.R.PET (T) PS,L&O
AGID1779,PI K.S. Layout PS,PI,kslayoutbcp@ksp.gov.in,9480801531,22942567,Bengaluru City,K.S. LAYOUT PS,L&O
AGID1780,PI K.T.J Nagar PS,PI,ktjnagardvg@ksp.gov.in,9480803250,08192-259285,Davanagere,K.T.J NAGAR PS,L&O
AGID1803,PI KIAL PS,PI,,,22001103,Bengaluru City,KIAL PS,L&O
AGID1810,PI KLA,PI,,,,Raichur,PI KLA,KLA
AGID1807,PI KLA,PI,,,08372-236164,Gadag,PI KLA,KLA
AGID1809,PI KLA,PI,,,823222445,Mandya,PI KLA,KLA
AGID1808,PI KLA,PI,,,08539-220533,Koppal,PI KLA,KLA
AGID1806,PI KLA,PI,,9480803270,08192-257599,Davanagere,PI KLA,KLA
AGID1805,PI KLA,PI,,,08354-236170,Bagalkote,PI KLA,KLA
AGID1819,PI KPTCL,PI,,9480803296,,Davanagere,PI KPTCL,ESCOM
AGID1818,PI KPTCL,PI,,,08354-234011,Bagalkote,PI KPTCL,ESCOM
AGID1820,PI KPTCL,PI,,9448070799,08352-277333,Vijayapura,PI KPTCL,ESCOM
AGID1781,PI Kadugodi PS,PI,,9480801619,22943471,Bengaluru City,KADUGODI PS,L&O
AGID1782,PI Kaggalipura PS,PI,kaggalipurps@ksp.gov.in,9480802851,28435250,Ramanagara,KAGGALIPURA PS,L&O
AGID1783,PI Kalagatagi PS,PI,kalaghatagidwd@ksp.gov.in,9480804351,08370-284511,Dharwad,KALAGATAGI PS,L&O
AGID1784,PI Kalasipalya PS,PI,kpalyabcp@ksp.gov.in,9480801718,22942504,Bengaluru City,KALASIPALYA PS,L&O
AGID1785,PI Kamakshipalya PS,PI,kpalyaabcp@ksp.gov.in,9480801728,22942515,Bengaluru City,KAMAKSHIPALYA PS,L&O
